"vuosikymmen","sukupuoli_f","pituus_f","syvyys_f","pinta_ala_f","pyoreys_f","lento_km"
"70-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",4429.837815
"70-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3900.092851
"70-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1400-0.1499",4429.837815
"00-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3746.297626
"90-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3649.202627
"00-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2781.14206
"80-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3588.946757
"80-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2623.092314
"80-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2924.209933
"10-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3312.393637
"70-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3569.805288
"80-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",3588.946757
"80-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",2774.019436
"70-l","M","49.00-51.99","840.0-939.0","840.0-939.0","0.1400-0.1499",3649.202627
"80-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3588.946757
"90-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2591.197066
"70-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3588.946757
"10-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3525.788543
"90-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3618.651377
"10-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3649.940271
"70-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3056.879333
"70-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3649.202627
"70-l","M","49.00-51.99","<740.0","740.0-839.0","0.1200-0.1299",3649.202627
"70-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2429.803584
"90-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3649.202627
"70-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",1432.047625
"70-l","F","49.00-51.99","<740.0","740.0-839.0","0.1300-0.1399",1441.699045
"90-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",4429.837815
"70-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",2194.554508
"70-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3649.202627
"80-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2424.017815
"70-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3649.202627
"80-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3900.092851
"80-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2941.744391
"90-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2670.463747
"80-l","M","46.00-48.99","<740.0","740.0-839.0","0.1300-0.1399",3649.202627
"10-l","F","49.00-51.99","<740.0","740.0-839.0","<0.1200",2928.423335
"80-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2519.53475
"70-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3649.202627
"80-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2424.017815
"80-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3171.223423
"70-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1200-0.1299",2685.12791
"10-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3004.003098
"70-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",3723.233188
"70-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3588.946757
"80-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2424.017815
"70-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3588.946757
"00-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2403.5155
"10-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2366.055726
"70-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2888.953376
"80-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3649.202627
"70-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",1830.041662
"70-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3588.946757
"00-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3070.93417
"90-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3649.202627
"80-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1400-0.1499",1828.188443
"80-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1400-0.1499",3004.003098
"80-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1400-0.1499",1292.585182
"70-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3741.250945
"70-l","M","49.00-51.99","840.0-939.0","840.0-939.0","0.1300-0.1399",2389.692985
"70-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2946.721974
"00-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3760.812589
"80-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3088.662537
"80-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1200-0.1299",2541.515648
"80-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1200-0.1299",2591.197066
"80-l","M","49.00-51.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3118.24261
"70-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3124.146439
"80-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",1123.27682
"70-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3588.946757
"00-l","M","49.00-51.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3649.202627
"90-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3605.513871
"80-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",1347.233898
"80-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3900.092851
"80-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",1123.27682
"10-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",3316.171631
"90-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",1123.27682
"00-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3649.202627
"70-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3350.890701
"00-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3508.102606
"70-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3649.202627
"80-l","M","49.00-51.99","840.0-939.0","840.0-939.0","0.1300-0.1399",2755.318264
"80-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3533.683347
"80-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",2623.785461
